title,gross,valence,arousal,dominance
A Madea Christmas ,52528330,0.958999991,0.519999981,0.740999997
Big Trouble ,7262288,0.288749997,0.719999984,0.479499988
Return to Never Land ,48423368,0.607799995,0.453599995,0.529400003
Back to the Future Part II ,118500000,0.520499994,0.42566666,0.437166666
The Game ,48265581,0.815500021,0.710500002,0.491999999
Basic ,26536120,0.665500015,0.206499994,0.443000004
Fight Club ,37023395,0.452400006,0.764199984,0.657600009
Land of the Dead ,20433940,0.438666664,0.526499992,0.488666674
The Land Girls ,146083,0.635399997,0.485600001,0.525400001
Point Break ,28772222,0.502666672,0.387999987,0.456666668
Space Jam ,90443603,0.541499998,0.526749991,0.452250011
The Matrix Reloaded ,281492479,0.556499988,0.494499996,0.621999979
The One ,43905746,0.6435,0.282000005,0.545000017
Moulin Rouge! ,57386369,0.561999977,0.400000006,0.381999999
Lord of War ,24127895,0.40366665,0.525000006,0.730666677
At First Sight ,22326247,0.630333344,0.436666667,0.647666653
Barney's Version ,7501404,0.527499989,0.4005,0.488999993
The Social Network ,96917897,0.675800002,0.474400008,0.582200009
Eye for an Eye ,53146000,0.697666665,0.348,0.511000007
Now You See Me ,117698894,0.63499999,0.268999994,0.312000006
9½ Weeks ,6734844,0.565999985,0.259499997,0.365500003
Who's Your Caddy? ,5694308,0.550500005,0.452500001,0.319499999
I Am Number Four ,55092830,0.468499988,0.278750002,0.443999991
"Run, Fatboy, Run ",5998971,0.636000007,0.82249999,0.492499992
Mao's Last Dancer ,4806750,0.772000015,0.651500016,0.645000011
The Age of Innocence ,32000000,0.536166663,0.260333332,0.327833335
Centurion ,122288,0.589999974,0.446999997,0.69599998
Party Monster ,296665,0.540500008,0.887499988,0.571500003
Kung Fu Panda ,215395021,0.646000028,0.194000006,0.405999988
Rent ,29077547,0.344000012,0.42899999,0.44600001
Admission ,18004225,0.794666648,0.507666657,0.65866667
The Perfect Game ,1089445,0.873000011,0.659249999,0.697000004
Halloween: The Curse of Michael Myers ,15126948,0.076,0.787666678,0.404666672
Going the Distance ,17797316,0.371499993,0.379000008,0.431000009
The Fan ,18573791,0.698000014,0.379500002,0.296499997
Did You Hear About the Morgans? ,29580087,0.71450001,0.4595,0.519500017
Light Sleeper ,1100000,0.744000006,0.350799999,0.524800003
Simon Birch ,18252684,0.561999977,0.345999986,0.381999999
Twins ,111936400,0.724000007,0.417999998,0.527500004
While We're Young ,7574066,0.811999977,0.519999981,0.537
Anchorman: The Legend of Ron Burgundy ,84136909,0.837000012,0.518999994,0.75
The Exorcism of Emily Rose ,75072454,0.514000006,0.628000006,0.471499994
Neighbors ,150056505,0.656500012,0.377000004,0.457499996
Snitch ,42919096,0.300000012,0.59799999,0.333000004
Captain Corelli's Mandolin ,25528495,0.629999995,0.542999998,0.666500017
Nowhere Boy ,1445366,0.646000028,0.39199999,0.444999993
Sky Captain and the World of Tomorrow ,37760080,0.672399992,0.453999996,0.563800001
The Grudge ,110175871,0.121000002,0.631000002,0.392999997
Where the Truth Lies ,871527,0.587400007,0.569000012,0.577800006
Pan ,34964818,0.734000027,0.181999996,0.363999993
Road Trip ,68525609,0.620999999,0.522250004,0.432750002
It's Kind of a Funny Story ,6350058,0.856749997,0.401499998,0.598999992
The Howling ,17986000,0.356999993,0.646000028,0.407000005
The Lord of the Rings: The Return of the King ,377019252,0.644833316,0.468333329,0.662833343
Charlie Wilson's War ,66636385,0.022,0.89200002,0.726999998
One Night with the King ,13391174,0.646999991,0.412,0.572000015
The Verdict ,54000000,0.324999988,0.68900001,0.800000012
The Polar Express ,665426,0.656599998,0.545999998,0.619400001
Something's Gotta Give ,124590960,0.772500008,0.339499995,0.542499989
Despicable Me 2 ,368049635,0.145999998,0.709999979,0.254999995
Gigli ,5660084,0.815999985,0.754999995,0.593999982
The Place Beyond the Pines ,21383298,0.578000009,0.243000001,0.355000004
A Bug's Life ,162792677,0.588333329,0.518000007,0.523333336
